Species Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
Abacina alboatra,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Diplotomma,Diplotomma alboatrum
Abacina amphibia,Fungi,Ascomycota,Lecanoromycetes,Rhizocarpales,Rhizocarpaceae,Rhizocarpon,Rhizocarpon amphibium
Abacina atrovirens,Fungi,Ascomycota,Lecanoromycetes,Rhizocarpales,Rhizocarpaceae,Rhizocarpon,Rhizocarpon geographicum
Abortiporus biennis f. biennis,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
Abortiporus biennis f. distortus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
Abortiporus biennis f. pulvinatus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
Abortiporus biennis f. thelephoroideus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
Abortiporus biennis var. biennis,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
Abortiporus biennis var. sowerbyi,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
Abortiporus borealis,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Climacocystis,Climacocystis borealis
Abortiporus distortus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
Abortiporus fimbriatus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Irpex,Irpex rosettiformis
Abortiporus fractipes,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Loweomyces,Loweomyces fractipes
Abortiporus humilis,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Loweomyces,Loweomyces fractipes
Abortiporus subabortivus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Diacanthodes,Diacanthodes novoguineensis
Abortiporus tropicalis,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Loweomyces,Loweomyces fractipes
Abortiporus wynneae,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Loweomyces,Loweomyces wynneae
Abortiporus zonatus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus zonatus
Abrachium floriforme,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Abrachium,Abrachium floriforme
Abradeosporangium variisporum,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Choanephoraceae,Poitrasia,Poitrasia circinans
Abrothallus parmeliarum f. parmeliarum,Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus parmeliarum
Abrothallus parmeliarum f. prodiens,Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus prodiens
Abrothallus parmeliarum var. parmeliarum,Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus parmeliarum
Abrothallus cladonema,Fungi,Ascomycota,Dothideomycetes,Trypetheliales,Polycoccaceae,Clypeococcum,Clypeococcum cladonema
Abrothallus glabratulae,Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus parmeliarum
Abrothallus inquinans,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Byssolomataceae,Micarea,Micarea inquinans
Abrothallus lobariellus,Fungi,Ascomycota,Eurotiomycetes,Sclerococcales,Sclerococcaceae,Sclerococcum,Sclerococcum lobariellum
Abrothallus moorei,Fungi,Ascomycota,Lecanoromycetes,,,Bachmanniomyces,Bachmanniomyces punctum
Abrothallus oxysporus,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Punctelia,Punctelia oxyspora
Abrothallus pulverulentus,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Tetramelas,Tetramelas pulverulentus
Abrothallus smithii,Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus parmeliarum
Abrothallus talcophilus,Fungi,Ascomycota,Dothideomycetes,Dothideales,,Karschia,Karschia talcophila
Abrothallus tegularum,Fungi,Ascomycota,Eurotiomycetes,Sclerococcales,Sclerococcaceae,Sclerococcum,Sclerococcum tegularum
Absconditella modesta,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Absconditella,Absconditella delutula
Absidia cylindrospora var. cylindrospora,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia cylindrospora
Absidia blakesleeana var. atrospora,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia hyalospora
Absidia blakesleeana var. blakesleeana,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia blakesleeana
Absidia caerulea var. caerulea,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia caerulea
Absidia caerulea var. saccardoi,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia caerulea
Absidia corymbifera var. corymbifera,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia corymbifera var. ramosa,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ramosa
Absidia corymbifera var. regnieri,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia corymbifera var. truchisii,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia glauca var. asparagi,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia glauca
Absidia glauca var. glauca,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia glauca
Absidia glauca var. paradoxa,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia glauca
Absidia lichtheimii var. lichtheimii,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia lichtheimii var. rastii,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ramosa
Absidia lichtheimii var. zurcheri,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ramosa
Absidia ramosa f. ramosa,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ramosa
Absidia ramosa f. typica,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia ramosa var. ramosa,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ramosa
Absidia ramosa var. rastii,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ramosa
Absidia ramosa var. zurcheri,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ramosa
Absidia blakesleeana,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia blakesleeana
Absidia butleri,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Gongronella,Gongronella butleri
Absidia cornealis,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia corymbifera,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia cristata,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia hyalospora
Absidia ginsan,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia gracilis,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia hyalospora,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia hyalospora
Absidia italiana,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia japonica,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia repens
Absidia lichtheimii,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia merdaria,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia hyalospora
Absidia orchidis,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia caerulea
Absidia ornata,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ornata
Absidia padenii,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Chlamydoabsidia,Chlamydoabsidia padenii
Absidia parasitica,,,,,,,
Absidia parricida,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lentamycetaceae,Lentamyces,Lentamyces parricidus
Absidia ramosa,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ramosa
Absidia regnieri,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia sphaerosporangioides,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia glauca
Absidia subpoculata,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Gongronella,Gongronella butleri
Absidia tieghemii,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia caerulea
Absidia truchisii,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia verticillata,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mycocladaceae,Mycocladus,Mycocladus verticillatus
Absidia zychae,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lentamycetaceae,Lentamyces,Lentamyces zychae
Abstoma longii,Fungi,Ascomycota,Pezizomycetes,Pezizales,Carbomycetaceae,Carbomyces,Carbomyces gilbertsonii
Abundisporus subflexibilis,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Abundisporus,Abundisporus roseoalbus
Acallomyces lavagnei,Fungi,Ascomycota,Laboulbeniomycetes,Laboulbeniales,Laboulbeniaceae,Ilyomyces,Ilyomyces lavagnei
Acanthellorhiza globulifera,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,,Heteroacanthella,Heteroacanthella acanthophysa
Acanthocystis petaloides var. macrospora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Hohenbuehelia,Hohenbuehelia bonii
Acanthocystis petaloides var. petaloides,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Hohenbuehelia,Hohenbuehelia petaloides
Acanthocystis applicatus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Resupinatus,Resupinatus applicatus
Acanthocystis atrocoerulea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Hohenbuehelia,Hohenbuehelia atrocoerulea
Acanthocystis auriscalpium,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Hohenbuehelia,Hohenbuehelia auriscalpium
Acanthocystis carbonaria,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Hohenbuehelia,Hohenbuehelia petaloides
Acanthocystis cyphelliformis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Hohenbuehelia,Hohenbuehelia cyphelliformis
Acanthocystis geogenius,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Hohenbuehelia,Hohenbuehelia petaloides
Acanthocystis hepatotricha,Fungi,Basidiomycota,Agaricomycetes,Russulales,Auriscalpiaceae,Lentinellus,Lentinellus pulvinulus
Acanthocystis leightonii,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Hohenbuehelia,Hohenbuehelia leightonii
Acanthocystis myxotricha,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Hohenbuehelia,Hohenbuehelia myxotricha
Acanthocystis petaloides,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Hohenbuehelia,Hohenbuehelia petaloides
Acanthocystis serotinus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Sarcomyxaceae,Sarcomyxa,Sarcomyxa serotina
Acanthocystis silvana,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Hohenbuehelia,Hohenbuehelia silvana
Acanthocystis stratosa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Hohenbuehelia,Hohenbuehelia angustata
Acanthocystis striatula,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Resupinatus,Resupinatus striatulus
Acanthocystis testudo,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Hohenbuehelia,Hohenbuehelia testudo
Acanthocystis unguicularis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Hohenbuehelia,Hohenbuehelia unguicularis
Acanthocystis viscidula,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus viscidulus
Acanthodochium collodisculae,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Collodiscula,Collodiscula japonica
Acanthomyces lasiophora,Fungi,Ascomycota,Laboulbeniomycetes,Laboulbeniales,Laboulbeniaceae,Rhachomyces,Rhachomyces lasiophorus
Acanthonitschkea pulchella,Fungi,Ascomycota,Sordariomycetes,Coronophorales,Nitschkiaceae,Acanthonitschkea,Acanthonitschkea pulchella
Acanthophiobolus chaetophorus,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthophiobolus,Acanthophiobolus helicosporus
Acanthophiobolus gracilis,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthophiobolus,Acanthophiobolus helicosporus
Acanthophiobolus helminthosporus,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthophiobolus,Acanthophiobolus helicosporus
Acanthophysellum cerussatum var. lapponicum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus lapponicus
Acanthophysellum bisporum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Acanthophysium,Acanthophysium bisporum
Acanthophysellum buxicola,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Acanthophysium,Acanthophysium buxicola
Acanthophysellum canadense,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Acanthophysellum,Acanthophysellum canadense
Acanthophysellum cerussatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus cerussatus
Acanthophysellum dextrinoideocerussatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus dextrinoideocerussatus
Acanthophysellum lapponicum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus lapponicus
Acanthophysellum mesaverdense,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus mesaverdensis
Acanthophysium cerussatum var. lapponicum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus lapponicus
Acanthophysium aberrans,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus aberrans
Acanthophysium abietis,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus abietis
Acanthophysium acerinum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,Dendrothele,Dendrothele acerina
Acanthophysium ahmadii,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Acanthofungus,Acanthofungus ahmadii
Acanthophysium aurantium,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus aurantius
Acanthophysium australiense,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus australiensis
Acanthophysium berggrenii,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus berggrenii
Acanthophysium biapiculatum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,Dendrothele,Dendrothele biapiculata
Acanthophysium botryosum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus botryosus
Acanthophysium canadense,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Acanthophysellum,Acanthophysellum canadense
Acanthophysium candidum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,Dendrothele,Dendrothele candida
Acanthophysium cerussatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus cerussatus
Acanthophysium coralloides,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus coralloides
Acanthophysium coronatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus coronatus
Acanthophysium delicatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Acanthobasidium,Acanthobasidium delicatum
Acanthophysium dendroideum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus dendroideus
Acanthophysium dextrinoideocerussatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus dextrinoideocerussatus
Acanthophysium diffissum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Megalocystidium,Megalocystidium diffissum
Acanthophysium farlowii,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus farlowii
Acanthophysium fasciculatum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Epithele,Epithele fasciculata
Acanthophysium fennicum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Acanthophysellum,Acanthophysellum fennicum
Acanthophysium fruticetorum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus fruticetorum
Acanthophysium lapponicum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus lapponicus
Acanthophysium laurentianum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus laurentianus
Acanthophysium lividocoeruleum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Acanthophysellum,Acanthophysellum lividocoeruleum
Acanthophysium ljubarskii,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus ljubarskii
Acanthophysium macrocystidiatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus macrocystidiatus
Acanthophysium mesaverdense,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus mesaverdensis
Acanthophysium mirabile,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Gloeosoma,Gloeosoma mirabile
Acanthophysium moniliferum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Neoaleurodiscus,Neoaleurodiscus monilifer
Acanthophysium nivosum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,Dendrothele,Dendrothele nivosa
Acanthophysium oakesii,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Acanthophysium,Acanthophysium oakesii
Acanthophysium penicillatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Acanthobasidium,Acanthobasidium penicillatum
Acanthophysium piceinum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus piceinus
Acanthophysium pulvinatum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,Dendrothele,Dendrothele pulvinata
Acanthophysium sparsum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus sparsus
Acanthophysium spinigerum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus spiniger
Acanthophysium succineum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus succineus
Acanthophysium thoenii,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Xylobolus,Xylobolus thoenii
Acanthophysium weirii,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Acanthobasidium,Acanthobasidium weirii
Acanthorhynchus vaccinii,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hyponectriaceae,Physalospora,Physalospora vaccinii
Acanthostigma minutum var. brachysporum,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthostigma,Acanthostigma revocatum
Acanthostigma parasiticum,Fungi,Ascomycota,Dothideomycetes,,,,
Acanthostigma atrobarbum,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chaetosphaeria,Chaetosphaeria atrobarba
Acanthostigma berenice,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriaceae,Chaetothyrium,Chaetothyrium berenice
Acanthostigma bryophila,Fungi,Ascomycota,Dothideomycetes,Dothideales,,Bryosphaeria,Bryosphaeria bryophila
Acanthostigma clintonii,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthostigma,Acanthostigma perpusillum
Acanthostigma genuflexum,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthostigmella,Acanthostigmella genuflexa
Acanthostigma gracile,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthophiobolus,Acanthophiobolus helicosporus
Acanthostigma helminthosporum,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthophiobolus,Acanthophiobolus helicosporus
Acanthostigma hepaticicola,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Epibryaceae,Epibryon,Epibryon hepaticicola
Acanthostigma hispidula,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Lasiosphaeria,Lasiosphaeria hispidula
Acanthostigma longisporum,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthostigmina,Acanthostigmina longispora
Acanthostigma metzgeriae,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Epibryaceae,Epibryon,Epibryon metzgeriae
Acanthostigma moelleriellae,Fungi,Ascomycota,Dothideomycetes,Dothideales,,Pleostigma,Pleostigma moelleriellae
Acanthostigma muscicola,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Epibryaceae,Epibryon,Epibryon muscicola
Acanthostigma nectrioideum,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthostigmina,Acanthostigmina minuta
Acanthostigma orthosetum,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthostigmella,Acanthostigmella orthoseta
Acanthostigma pulchrisetum,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Niessliaceae,Niesslia,Niesslia pulchriseta
Acanthostigma scapaniae,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Epibryaceae,Epibryon,Epibryon scapaniae
Acanthostigma scleracanthum,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthostigmina,Acanthostigmina minuta
Acanthostigma sequoiae,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthostigma,Acanthostigma sequoiae
Acanthostigmella brevispina,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Tubeufia,Tubeufia brevispina
Acanthostigmina alpina,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthostigmina,Acanthostigmina longispora
Acanthostigmina hebridensis,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Taphrophila,Taphrophila hebridensis
Acanthostigmina minuta,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthostigmina,Acanthostigmina minuta
Acanthostigmina scopula,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Acanthohelicospora,Acanthohelicospora scopula
Acanthostigmina trichella,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Taphrophila,Taphrophila trichella
Acanthostoma excelsum,Fungi,Ascomycota,Dothideomycetes,Asterinales,Asterinaceae,Dimerosporium,Dimerosporium excelsum
Acanthotheciopsis pachygraphoides,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Acanthothecis,Acanthothecis pachygraphoides
Acanthothecium pachygraphoides,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Acanthothecis,Acanthothecis pachygraphoides
Acarocybella jasminicola,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora jasminicola
Acarospora castanea f. incusa,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora macrospora
Acarospora cervina f. depauperata,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora glaucocarpa
Acarospora cervina f. microstictica,Fungi,Ascomycota,Dothideomycetes,Trypetheliales,Polycoccaceae,Polycoccum,Polycoccum microsticticum
Acarospora cervina var. microsticta,Fungi,Ascomycota,Dothideomycetes,Trypetheliales,Polycoccaceae,Polycoccum,Polycoccum microsticticum
Acarospora cervina var. simplex,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora privigna
Acarospora cervina var. smaragdula,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Myriospora,Myriospora smaragdula
Acarospora chlorophana f. chlorophana,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Pleopsidium,Pleopsidium chlorophanum
Acarospora chlorophana var. chlorophana,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Pleopsidium,Pleopsidium chlorophanum
Acarospora fuscata f. tristicula,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora fuscata
Acarospora glaucocarpa f. conspersa,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora glaucocarpa
