Species Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
Stereum plicatum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,
Stereum populneum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Hyphodermataceae,Mutatoderma,Mutatoderma populneum
Stereum portentosum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Scytinostroma,Scytinostroma portentosum
Stereum prolificans,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Podoscypha,Podoscypha involuta
Stereum proximum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Podoscypha,Podoscypha involuta
Stereum pubescens,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum amplum
Stereum pulchellum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Podoscypha,Podoscypha involuta
Stereum purpurascens,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Lopharia,Lopharia cinerascens
Stereum purpureum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cyphellaceae,Chondrostereum,Chondrostereum purpureum
Stereum pusiolum,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Cotylidia,Cotylidia pusiola
Stereum quercinum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum gausapatum
Stereum quisquiliare,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Cotylidia,Cotylidia aurantiaca
Stereum radiatofissum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Xylobolus,Xylobolus spectabilis
Stereum radiatum,Fungi,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllaceae,Boreostereum,Boreostereum radiatum
Stereum radicans,Fungi,Basidiomycota,Agaricomycetes,Stereopsidales,Stereopsidaceae,Stereopsis,Stereopsis radicans
Stereum reflexum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum hirsutum
Stereum reniforme,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hymenochaete,Hymenochaete reniformis
Stereum rheicolor,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hymenochaete,Hymenochaete rheicolor
Stereum rigidulum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum vellereum
Stereum riofrioi,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Hymenogloea,Hymenogloea riofrioi
Stereum rivulorum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cyphellostereum,Cyphellostereum rivulorum
Stereum roseocarneum,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Corticium,Corticium roseocarneum
Stereum rubiginosum,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hymenochaete,Hymenochaete rubiginosa
Stereum rubropallens,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Hyphodermataceae,Hyphoderma,Hyphoderma rubropallens
Stereum rufonitens,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Podoscypha,Podoscypha cristata
Stereum rufum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,Peniophora rufa
Stereum rugisporum,Fungi,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllaceae,Veluticeps,Veluticeps fimbriata
Stereum rugosiusculum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cyphellaceae,Chondrostereum,Chondrostereum purpureum
Stereum salicinum,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Vuilleminiaceae,Cytidia,Cytidia salicina
Stereum schomburgkii,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Duportella,Duportella schomburgkii
Stereum sclerotioides,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Panaceae,Cymatoderma,Cymatoderma sclerotioides
Stereum scytale,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Xylobolus,Xylobolus subpileatus
Stereum sendaiense,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Corticium,Corticium roseocarneum
Stereum sepiaceum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Xylobolus,Xylobolus subpileatus
Stereum sepium,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Xylobolus,Xylobolus subpileatus
Stereum seriatum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,Dendrothele,Dendrothele seriata
Stereum sericeonitens,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum vellereum
Stereum simulans,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Thelephora congesta
Stereum siparium,Fungi,Basidiomycota,Pucciniomycetes,Septobasidiales,Septobasidiaceae,Septobasidium,Septobasidium siparium
Stereum sparassoides,Fungi,Basidiomycota,Agaricomycetes,Stereopsidales,Stereopsidaceae,Stereopsis,Stereopsis sparassoides
Stereum sparsum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus sparsus
Stereum spathulatum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Microporellus,Microporellus obovatus
Stereum spectabile,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Xylobolus,Xylobolus spectabilis
Stereum spiniferum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Xylobolus,Xylobolus illudens
Stereum sponheimeri,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Porostereum,Porostereum spadiceum
Stereum sprucei,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum ostrea
Stereum squamula,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Cotylidia,Cotylidia pusiola
Stereum stratosum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum rugosum
Stereum strigosozonatum,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Punctulariaceae,Punctularia,Punctularia strigosozonata
Stereum strumosum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,Dendrothele,Dendrothele strumosa
Stereum suaveolens,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Baltazaria,Baltazaria galactina
Stereum subcostatum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Stereophlebia,Stereophlebia tuberculata
Stereum subcruentatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurocystidiellum,Aleurocystidiellum subcruentatum
Stereum subpileatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Xylobolus,Xylobolus subpileatus
Stereum subpurpurascens,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hymenochaete,Hymenochaete subpurpurascens
Stereum sulcatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,Laurilia,Laurilia sulcata
Stereum tabacinum,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hydnoporia,Hydnoporia tabacina
Stereum taxodii,Fungi,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,Lauriliella,Lauriliella taxodii
Stereum tenerrimum,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Cotylidia,Cotylidia undulata
Stereum tenuissimum,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hymenochaete,Hymenochaete rheicolor
Stereum thwaitesii,Fungi,Basidiomycota,Agaricomycetes,Stereopsidales,Stereopsidaceae,Stereopsis,Stereopsis radicans
Stereum translucens,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Podoscypha,Podoscypha venustula
Stereum tuberosum,Fungi,Basidiomycota,Agaricomycetes,Tremellodendropsidales,Tremellodendropsidaceae,Tremellodendropsis,Tremellodendropsis tuberosa
Stereum tumulosum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,Peniophora cinerea
Stereum umbrinoalutaceum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Porostereum,Porostereum umbrinoalutaceum
Stereum umbrinum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phlebiopsis,Phlebiopsis crassa
Stereum undulatum,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Cotylidia,Cotylidia undulata
Stereum variegatum,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hymenochaete,Hymenochaete variegata
Stereum variolosum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum vellereum
Stereum venosum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Porostereum,Porostereum spadiceum
Stereum venustulum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Podoscypha,Podoscypha venustula
Stereum versiforme,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,Peniophora versiformis
Stereum vespilloneum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Podoscypha,Podoscypha vespillonea
Stereum vibrans,Fungi,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllaceae,Boreostereum,Boreostereum vibrans
Stereum villosum,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hymenochaete,Hymenochaete villosa
Stereum vitellinum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,Dendrothele,Dendrothele strumosa
Stereum vorticosum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cyphellaceae,Chondrostereum,Chondrostereum purpureum
Stereum wakullum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Megalocystidium,Megalocystidium wakullum
Stereum willeyi,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Cotylidia,Cotylidia diaphana
Stereum xanthellum,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Cotylidia,Cotylidia aurantiaca
Stereum zebra,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum ostrea
Stereum zonarium,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Xylobolus,Xylobolus illudens
Stereum acerinum var. nivosum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,Dendrothele,Dendrothele nivosa
Stereum caperatum var. lamellatum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Panaceae,Cymatoderma,Cymatoderma elegans
